YEAR,United States,Comparable Country Average
1990,27651,24082
1991,27443,23846
1992,27126,23546
1993,27297,23353
1994,27160,23053
1995,26974,22813
1996,26477,22472
1997,26024,22130
1998,25743,21937
1999,25689,21739
2000,25548,21511
2001,25516,21247
2002,25452,21035
2003,25325,20850
2004,24946,20485
2005,24996,20254
2006,24785,19994
2007,24510,19842
2008,24284,19710
2009,24051,19587
2010,23719,19380
2011,23742,19224
2012,23653,19023
2013,23651,18900
2014,23716,18738
2015,23902,18711
2016,24235,18605
2017,24306,18533
