Year,Comparable Country Average,Australia,Austria,Belgium,Canada,France,Germany,Japan,Netherlands,Sweden,Switzerland,United Kingdom,United States
1980,74.5,74.6,72.6,73.3,75.3,74.3,72.9,76.1,75.9,75.9,75.7,73.2,73.7
1981,74.8,74.9,72.9,73.7,75.5,74.5,73.2,76.5,76,76.2,75.9,73.8,74.1
1982,75,74.7,73.1,74,75.6,74.8,73.5,76.9,76.1,76.5,76.2,74.1,74.5
1983,75.2,75.5,73.1,74,75.9,74.8,73.8,77,76.3,76.7,76.2,74.3,74.6
1984,75.6,75.8,73.7,74.5,76.2,75.3,74.3,77.4,76.4,77,76.9,74.5,74.7
1985,75.8,75.6,73.9,74.6,76.3,75.4,74.9,77.6,76.5,76.8,77,74.7,74.7
1986,76,76.1,74.4,74.8,76.5,75.7,75.1,78.1,76.4,77.1,77.1,74.8,74.7
1987,76.4,76.3,74.9,75.5,76.6,76.3,75.6,78.5,76.9,77.3,77.5,75.2,74.9
1988,76.5,76.3,75.3,75.7,76.8,76.6,75.8,78.4,77.1,77.1,77.5,75.3,74.9
1989,76.7,76.5,75.4,75.7,77,76.7,75.9,78.8,76.9,77.8,77.7,75.4,75.1
1990,77,77,75.7,76.1,77.2,77,77.2,78.9,77,77.7,77.5,75.7,75.3
1991,77,77.4,75.7,76.3,77.5,77.2,75.5,79.1,77.2,77.9,77.8,75.9,75.5
1992,77.3,77.5,75.9,76.5,77.7,77.5,76,79.2,77.4,78.2,78.1,76.3,75.7
1993,77.4,78,76.2,76.5,77.8,77.6,76.1,79.4,77.1,78.2,78.4,76.2,75.5
1994,77.7,78,76.5,76.8,77.9,78,76.4,79.8,77.5,78.9,78.6,76.8,75.7
1995,77.8,77.9,76.8,77,77.9,78.1,76.6,79.6,77.6,79,78.7,76.7,75.7
1996,78.1,78.2,77,77.3,78.1,78.3,76.9,80.3,77.6,79.2,79.1,76.9,76.1
1997,78.4,78.5,77.4,77.5,78.3,78.6,77.3,80.5,78,79.4,79.3,77.2,76.5
1998,78.6,78.7,77.8,77.6,78.5,78.8,77.7,80.6,78,79.5,79.6,77.3,76.7
1999,78.7,79,78,77.7,78.7,78.9,77.9,80.5,77.9,79.6,79.8,77.5,76.7
2000,79,79.3,78.2,77.8,79,79.2,78.2,81.2,78.2,79.7,79.9,77.9,76.7
2001,79.3,79.7,78.7,78.1,79.2,79.3,78.5,81.5,78.3,79.9,80.4,78.2,76.9
2002,79.4,80,78.8,78.2,79.4,79.4,78.5,81.8,78.4,79.9,80.6,78.3,77
2003,79.5,80.3,78.7,78.2,79.6,79.3,78.6,81.8,78.7,80.3,80.6,78.4,77.1
2004,80,80.6,79.3,79,79.8,80.3,79.2,82.1,79.2,80.6,81.2,79,77.6
2005,80.2,80.9,79.4,79.1,80,80.4,79.4,82,79.5,80.7,81.4,79.2,77.6
2006,80.6,81.1,80,79.5,80.3,81,79.8,82.4,79.9,81,81.7,79.5,77.8
2007,80.8,81.4,80.3,79.9,80.4,81.2,80.1,82.6,80.3,81.1,82,79.7,78.1
2008,81,81.5,80.5,79.8,80.6,81.4,80.2,82.7,80.5,81.3,82.2,79.8,78.1
2009,81.2,81.6,80.4,80.1,80.8,81.5,80.3,83,80.8,81.5,82.3,80.4,78.5
2010,81.4,81.8,80.7,80.3,81.1,81.8,80.5,82.9,81,81.6,82.6,80.6,78.6
2011,81.6,82,81.1,80.7,81.3,82.3,80.5,82.7,81.3,81.9,82.8,81,78.7
2012,81.6,82.1,81,80.5,81.5,82.1,80.6,83.2,81.2,81.8,82.8,81,78.8
2013,81.8,82.2,81.2,80.7,81.7,82.3,80.6,83.4,81.4,82,82.9,81.1,78.8
2014,82.2,82.4,81.6,81.4,81.8,82.8,81.2,83.7,81.8,82.3,83.3,81.4,78.9
2015,82,82.5,81.3,81.1,81.9,82.4,80.7,83.9,81.6,82.3,83,81,78.7
2016,82.2,82.5,81.7,81.5,82,82.6,81.1,84.1,81.6,82.4,83.7,81.2,78.7
2017,82.3,82.6,81.7,81.6,82,82.6,81.1,84.2,81.8,82.5,83.6,81.3,78.6
