YEAR,CMP_AVG,US
1980,74.5,73.7
1981,74.8,74.1
1982,75,74.5
1983,75.2,74.6
1984,75.6,74.7
1985,75.8,74.7
1986,76,74.7
1987,76.4,74.9
1988,76.5,74.9
1989,76.7,75.1
1990,77,75.3
1991,77,75.5
1992,77.3,75.7
1993,77.4,75.5
1994,77.7,75.7
1995,77.8,75.7
1996,78.1,76.1
1997,78.4,76.5
1998,78.6,76.7
1999,78.7,76.7
2000,79,76.7
2001,79.3,76.9
2002,79.4,77
2003,79.5,77.1
2004,80,77.6
2005,80.2,77.6
2006,80.6,77.8
2007,80.8,78.1
2008,81,78.1
2009,81.2,78.5
2010,81.4,78.6
2011,81.6,78.7
2012,81.6,78.8
2013,81.8,78.8
2014,82.2,78.9
2015,82,78.7
2016,82.2,78.7
2017,82.3,78.6
